Token,Type,0-banana/banana_4,1-banana/banana_4,2-banana/banana_4,3-banana/banana_4,0-corn/corn_1,1-corn/corn_1,2-corn/corn_1,3-corn/corn_1,0-cube/cube_2,1-cube/cube_2,2-cube/cube_2,3-cube/cube_2,4-cube/cube_2,0-cucumber/cucumber_2,1-cucumber/cucumber_2,2-cucumber/cucumber_2,3-cucumber/cucumber_2
cube,shape,0.1031872188307903,2.3667308435142937e-06,0.0009333749707546162,0.9940104715223101,2.101491941017533e-05,0.012713458492215503,0.023920494208756807,0.9999294742195206,0.9999646134714515,0.9999928476053965,0.9999607557381366,0.9999566621257708,0.9997021928471802,0.0009004535306597692,2.459464357937607e-05,0.01019179585094358,0.9981558883507046
cube,object,0.04340128862691465,2.230916824668369e-06,0.0007014712102249728,0.9716810250821823,1.921566232137147e-05,0.008997417439419012,0.015286241804255633,0.9997989520578585,0.9999535183298769,0.9999895345001198,0.9999528799957282,0.9999470263084005,0.9997010683573387,0.0007399657344757158,2.0508366377974716e-05,0.008675105010699182,0.9956135695735118
cucumb,rgb,0.9998159550061706,0.9617396328116855,0.999946155293834,0.17312221141063294,3.3215420105666413e-05,3.613235264614683e-05,2.619933663174579e-05,2.9774515416236255e-05,0.9999999999980467,0.9999999999923714,0.9999999999911604,0.9999999999578344,0.9999999996323161,0.9999459876259366,0.9999599514448407,0.9999035750692421,0.9999792081489262
cucumb,shape,0.9690753666712228,0.999973884551828,0.9122119580435464,0.005198014063770916,0.9999959838477597,0.9970312244427879,0.9659461256648524,0.0003502456564712894,0.0004813470811737978,0.0004197960331210363,8.578286027409315e-05,0.0002125347141427853,0.010311451324596294,0.999993274726722,0.9999966513572305,0.9997152675771327,0.9997377518011834
cucumb,object,0.9994061276324142,0.9999491874944844,0.99624325449118,0.1391677616267091,0.9998194447626305,0.9718386220034256,0.8417668415066322,0.005315191712642356,0.536513500178981,0.6387583233437739,0.333388766276015,0.46458890977129297,0.7209290925656244,0.999987132896625,0.9999990141298918,0.9997711544307678,0.9998697915301286
ear,rgb,3.1729334608770343e-10,3.9211927977555223e-07,2.9953858687798e-13,3.153509349049211e-05,0.9986700166745622,0.99839825886938,0.9988016079297062,0.9984472222006074,1.0427074409050675e-05,2.9855511841209954e-05,2.0890804789119425e-05,1.150464029533702e-05,0.00021633234496689214,0.0011674879513188705,0.00036249056236986463,0.0010501227180132863,8.097683071995065e-05
ear,shape,0.9998390818470757,2.3993786748877715e-05,1.6427229768948073e-09,0.9994364478220892,0.9995385531848421,0.9999382826048824,0.9998508001517552,0.9996331354821374,0.031517740880174464,0.340223641366182,0.48257528604437927,0.6380720104803002,0.8229085559620057,0.47531051781101014,0.988926964971951,0.043579529732035674,0.9386993112296735
ear,object,0.00883686345068468,1.880329883404539e-05,4.506541460491847e-10,0.5081869050184398,0.9996790826957284,0.999940751722635,0.9998568827546144,0.9997051512460039,1.458712425047276e-05,0.00016256056991933367,0.00018377915061841888,0.0002966068144253883,0.0028058412156934673,0.028935671352115572,0.07255007498572995,0.0004546637397234715,0.02509825211837301
green,rgb,0.9999999995629114,0.9999917031428877,0.9999999999826215,0.964244520750676,2.205457958827639e-06,2.5789846902448213e-06,1.4832198764803894e-06,1.876672045947465e-06,1.0,1.0,1.0,1.0,1.0,0.9999999995248281,0.9999999997460571,0.9999999987737009,0.9999999999278597
green,shape,0.9997847788760329,0.9999736101291191,0.9998242361291522,0.9996329705089294,0.9999999989215098,0.9999990612307084,0.9995855367180126,0.01429187141004708,0.9980829649468191,0.9984679527729071,0.9968629181701703,0.9993098189526519,0.9989469655423555,0.9999865326937959,0.999999991443325,0.9999658846630145,0.9999097134492824
green,object,0.9999941981044491,0.9999537993223865,0.999979908853477,0.9998361446625488,0.9988515016329581,0.9844152531074926,0.902861705995915,0.09570229536850734,0.9998015926760475,0.9999257838305446,0.9998335209939879,0.9998914370578118,0.999841225271785,0.9999914308818134,0.999999918968662,0.9998307059945669,0.999982624361021
squar,rgb,0.2519620777191748,0.5160180349910107,0.8137278275980254,0.8981481261007113,0.9810731770847765,0.9806302319516925,0.9838500145644811,0.983182583866674,1.0486201957539777e-07,1.69102921380461e-07,1.916960059668043e-07,4.5957618898313254e-07,8.389626203126651e-07,0.0006295775646607126,0.0006944261734339799,0.0009468284752084472,0.0006706919718349962
squar,shape,0.045775882932674816,3.167222160121316e-06,0.00032277808558969117,0.9523501130740557,1.5188482989975903e-05,0.002896485289814035,0.005011187608420097,0.9998977648882189,0.9999353902944695,0.999992489940145,0.9999317357401584,0.9999197381717659,0.9920909356335187,0.000575891129478286,1.5126845037484112e-05,0.010822968939247345,0.9954687669728581
squar,object,0.012216545734742172,5.025529066404519e-06,0.00016873088031317264,0.7015349961858545,2.967412022330726e-05,0.0029763509119436976,0.0040277368841209055,0.9997123606101469,0.9996264774183187,0.9999496105457568,0.9995963501547833,0.9995729137993097,0.9474682765697704,0.0004246171447795138,1.0045625649412055e-05,0.009581138077300815,0.9744342203110073
yellow,rgb,0.7895911944283001,0.971358919586109,0.9687672916196357,0.9983909964918707,0.9988498447347388,0.9988635239993325,0.9990582839375967,0.9990630823943017,1.682216859386697e-11,4.450439232202244e-11,6.470413378365917e-11,5.478555092797914e-10,1.2398009499384496e-09,0.00033370280540719115,0.00045534871859133526,0.0006747041766185653,0.0004984710789980107
yellow,shape,0.9997639666757369,0.0005045200018100256,0.9997098656722243,0.9999888794326632,0.9988410975233248,0.9999038740840592,0.9998082591176085,0.9999514109982206,0.999774811537859,0.9999864654601222,0.9999532200725026,0.9999491689782666,0.999864039194158,0.010323229026413798,0.8500584715056714,0.9998859549302485,0.9957770655727978
yellow,object,0.9973938010013734,0.01320692436867856,0.9979255699826095,0.9999750550145956,0.999247235753892,0.9999045800220695,0.9998621330079098,0.9999532735366469,0.0229359623508215,0.22858734447887302,0.128079759703175,0.24419826929205787,0.1619784335662198,0.0022810158612963614,0.10318369957337149,0.9454650012851497,0.7393465810345651
