Token,Type,0-banana/banana_4,1-banana/banana_4,2-banana/banana_4,3-banana/banana_4,0-corn/corn_2,1-corn/corn_2,2-corn/corn_2,3-corn/corn_2,4-corn/corn_2,5-corn/corn_2,0-cube/cube_4,1-cube/cube_4,2-cube/cube_4,3-cube/cube_4,4-cube/cube_4,0-cucumber/cucumber_3,1-cucumber/cucumber_3,2-cucumber/cucumber_3,3-cucumber/cucumber_3,4-cucumber/cucumber_3,5-cucumber/cucumber_3
cucumb,shape,0.13719736435236152,0.9992046630736604,0.029523237768469473,0.04750020214576652,0.9999997030847056,0.9999997030847056,0.9999976166396193,0.9999998840419316,0.9738976594669502,0.9994671345801853,0.6291294865254563,0.9466101260920494,0.8463255426913394,0.9555078501038204,0.7119717256174521,0.9999675427528785,0.9998754463987477,0.9999770628480457,0.9999009846279716,0.9998370380256035,0.9996529984928266
cucumb,object,0.03758590125872565,0.9762823436933624,0.00536243356617086,0.019121298965087928,0.9999944146314658,0.9999940416834533,0.9999792585690404,0.999996718049231,0.9813768760686934,0.9986497072209148,4.721542167478243e-08,2.620465030955023e-07,3.0603896581275745e-08,7.506186971651187e-08,1.1369649539060821e-08,0.9999822691956171,0.9999420015768559,0.9999840647434399,0.9999454527398798,0.9999152676173931,0.9997666323431329
ear,rgb,5.434037697352862e-08,1.3270904783862978e-05,3.380822307039969e-11,0.00018964748669667716,0.9999945341125793,0.9999893029875725,0.99999196291839,0.9999886079190362,0.9999769353312896,0.999980338484695,5.875342445791826e-09,5.2719515895964695e-09,2.3599588411891573e-10,1.3242287768640023e-10,7.548849697290364e-11,0.6419236232261496,0.16450098519836734,0.4502412713218682,0.3714541121631871,0.40130190214106914,0.4144608243175947
ear,shape,0.9538450993015417,0.915500625705986,0.001286408855576459,0.9998252207364505,0.9999741012492241,0.9999741012492241,0.9999369001133097,0.9999949052760193,0.9995747653317967,0.9999963419769565,0.3441708942188002,0.9675728394387725,0.9378734403883593,0.9843423799622765,0.827769464688339,0.9996068883438805,0.9899117583440463,0.9998404037327367,0.9971359065864462,0.9997159718391053,0.0008308930396555603
ear,object,0.08658869669177045,0.23898583050674105,3.069742120424121e-05,0.9861106561185393,0.9999795016756998,0.9999756590445736,0.9999635710639556,0.999994453811693,0.9997445184600362,0.9999966743881116,0.015416730113580862,0.26633216580379465,0.10819747292422623,0.24979818630579023,0.03577003044750949,0.9971450089931883,0.9509549272593543,0.9985096306953865,0.9862139100169712,0.9988293026464751,0.00409392102335288
green,rgb,0.9999998464501569,0.9999545533357168,0.9999940057332055,0.9582435265236541,0.8506484705500946,0.8966514978698087,0.8498178733280457,0.8505255002650577,0.8499540267879199,0.7891062350444514,1.9760217766224223e-51,1.6492765437392094e-51,4.588601422022632e-55,3.9343451596354515e-55,3.3172354336563703e-56,0.9999999999999987,0.9999999999999998,0.9999999999999989,0.9999999999999976,0.9999999999999951,0.9999999999999656
green,shape,0.9997228490074558,0.999797961437946,0.9994317358235113,0.9999088840417447,0.9999997778178399,0.9999997778178399,0.9999987027222944,0.9999998979303066,0.9988020620957185,0.9999984821564193,0.9995561333351959,0.9999339728298016,0.999753751867933,0.9999291621862404,0.9980582103003742,0.9999865232611644,0.9999513105609323,0.9999951367555693,0.9999499841742361,0.9999715824781865,0.999716364087238
green,object,0.9997412680596095,0.999727828258194,0.9995036038816364,0.9998414850161128,0.999975956911016,0.9999772998809069,0.9999494661688686,0.9999850184863082,0.9893345936165858,0.999968415208999,6.651583217332345e-08,5.702935268879526e-07,4.4082581930797704e-08,1.4441174447921072e-07,1.1574379206740986e-08,0.9999971588076781,0.9999900806696013,0.9999984738111232,0.9999774917701012,0.9999899663319476,0.9997332418842371
squar,rgb,0.22331303900574187,0.008621872120566485,0.920440745242018,0.001211144696026382,1.6648572839282865e-05,1.774012213373017e-05,1.68553333040813e-05,1.7099066768662993e-05,1.7685750753301067e-05,1.6873730864200634e-05,0.9983630822479196,0.9985258734967993,0.9999793391225359,0.9999854198807167,0.9999957291564833,0.011231162214024896,0.028086614635704155,0.014596302298417836,0.013338615747912449,0.011189410403044667,0.007480887911878132
squar,shape,0.0012919923864957675,9.426440449746095e-05,0.0001833905340214379,0.327590513193801,0.0014748239838177804,0.0014748239838177832,0.0012743738869363383,0.002965407503028438,0.0005786519005632538,0.013155751391047731,0.9999894679545406,0.9999059476223207,0.9999833057681414,0.9999661295205345,0.9998624679383029,0.0006051692783153194,0.0009935510861088998,0.0008427259970229214,0.022856490278231736,0.0006780692829634615,0.32985882190248605
squar,object,0.00029501530134791535,5.350186246901658e-05,8.53198505896129e-05,0.014133184678702549,0.0006696715531037357,0.000651228409755963,0.0006316439867195986,0.001557048316460312,0.000555127216684022,0.006787349335507947,0.9999950284374767,0.9999301177753863,0.9999891098747712,0.9999833223368175,0.9999317175710675,0.00019939746312041688,0.0004219273866038232,0.00032879254718185035,0.011749712638908647,0.0004627501195986416,0.3427840669477927
yellow,rgb,0.7036990953553548,0.9601712224028649,0.9610559093451971,0.9981401205122509,0.9944156469644803,0.9935640585833326,0.9946215117467324,0.9947723471197438,0.9951009965906914,0.9959282863803449,1.0,1.0,1.0,1.0,1.0,7.270497257403212e-05,4.19280090019961e-05,6.788419638281865e-05,0.00010625713087457288,0.000147337506271397,0.0003760537680085072
yellow,shape,0.9999959869395261,0.19989086827249344,0.9904068220627107,0.9925827285487712,0.00082072623654228,0.0008207262365422859,0.0553435760880533,0.008338789989196717,0.9966515212173129,0.9983669123817457,0.9999145318310316,0.9975246412855407,0.9987840963502335,0.9979002978334521,0.9994709264515539,0.05089231272720808,0.0006128377206926184,0.03362923224403905,0.002740974352069457,0.9993713249131738,0.9999633157382152
yellow,object,0.9999514628869441,0.4586903289772006,0.9901736871168039,0.9980496112449214,0.01405888713038372,0.013872812894852862,0.22882889883788954,0.10950095311528699,0.9947563829469142,0.9986959020111256,0.999999999976795,0.9999999998073179,0.9999999999642268,0.9999999999526323,0.9999999999872786,0.006785883767809356,0.00025533300200924515,0.006327472518509954,0.0010063470765515048,0.9677290890059006,0.9932169640067404
