Token,Type,0-banana/banana_1,1-banana/banana_1,2-banana/banana_1,0-corn/corn_1,1-corn/corn_1,2-corn/corn_1,3-corn/corn_1,0-cube/cube_2,1-cube/cube_2,2-cube/cube_2,3-cube/cube_2,4-cube/cube_2,0-cucumber/cucumber_1,1-cucumber/cucumber_1,2-cucumber/cucumber_1,3-cucumber/cucumber_1,4-cucumber/cucumber_1
cucumb,rgb,0.998921313918018,0.999238203540437,0.9991229690642048,0.9320925731412107,0.9362304311276378,0.9273452280291217,0.9335367577318233,0.9999988870137808,0.9999981882085166,0.999998333516955,0.999998258559681,0.999994520305865,0.9999895185493367,0.9999796701350687,0.9999746091630775,0.9998882224919968,0.9997052853724248
cucumb,shape,0.9988162528524761,0.05993665009006594,0.035517963662449706,0.9999920137111941,0.9992189638999032,0.9923774825458417,8.67785140291707e-05,0.0010998797349332178,8.261199293962473e-05,4.559732498135908e-05,8.938769566414698e-05,0.03015890269890565,0.9999821158970386,0.9999928530386523,0.9999453841736685,0.9999702857951186,0.99979192072099
cucumb,object,0.9996032333798283,0.9680926698654868,0.9508993276210678,0.999336504640681,0.994963853061696,0.9854782317646159,0.05119066101644023,0.9736289887914638,0.8888167406459848,0.8755077504829675,0.9042980594527776,0.9885811057205712,0.999990896081992,0.9999901431875468,0.9999759354919591,0.9999801529905537,0.9998450731769949
fruit,rgb,0.9986937212323758,0.9990768383945782,0.9993614195963041,0.46704174340833965,0.48239515851780096,0.5020302069947712,0.5210224457746946,3.3810664253521336e-10,5.755473381186163e-10,8.71515002730133e-10,6.2507136109815585e-09,5.5447296018996815e-09,0.0002522557213064313,0.00026667623421102306,0.0004728113671974063,0.00042301065718904096,0.00040935252197571377
fruit,shape,0.9997926316234819,0.9997493591870629,0.9996294690393832,3.2163501548085447e-06,0.03175338133572842,0.06167269926500766,0.7856825040615113,0.8884059065734587,0.5844394911037224,0.18532656313139637,0.1468958578852886,0.4467409273967493,1.8251612407879984e-05,1.0152653343481208e-05,0.0036929875782289487,0.0035407064018133376,0.4121733151039905
fruit,object,0.9998392335802895,0.9998292335380655,0.9997354424708632,7.721368726582111e-05,0.05373113562586781,0.09136216562444473,0.6670077873028912,0.0017489672484393174,0.0006183547149257356,0.00019957126707074012,0.00035269822024017926,0.0008188972140298481,1.9595734740444648e-05,1.1041457234453724e-05,0.0012918447748818567,0.0010945089369333162,0.046877631949335856
green,rgb,0.9357914878691885,0.9688104725827188,0.9578361451164634,0.0024670412029127006,0.002824853793627804,0.002101477058491873,0.0025500844807748698,0.9999999988369461,0.9999999961703443,0.9999999965929547,0.999999994806333,0.9999999334955885,0.9999989026264579,0.9999951674805116,0.9999916479211268,0.9997837869163879,0.9982250376797303
green,shape,0.9999999996990416,0.9999998813603429,0.9999971293043632,0.897812910179195,0.919616204579713,0.9897861978126038,0.9999859884734497,0.9999996589182287,0.999999991718569,0.9999999730247117,0.9999999545064239,0.9999998824815322,0.9999990413700676,0.9991785077491763,0.9999980509083213,0.9997191144215717,0.9999997588495098
green,object,0.9999816579891121,0.999800973726396,0.9999275711455764,0.04336918931375053,0.060807054560932515,0.14313203186533827,0.8739975105131373,0.999999964037164,0.9999999935135968,0.9999999947203948,0.9999999911977956,0.9999998791828323,0.999998413584574,0.9997037478677986,0.9999963230597756,0.9998534808953992,0.9999445349537107
like,rgb,0.006856733701218085,0.006083043779820698,0.004552088341348895,0.8242171388153329,0.8092889253281367,0.806546198146429,0.7855562064414019,0.9999999999999996,0.9999999999999978,0.9999999999999956,0.9999999999998388,0.9999999999996971,0.9999935917709849,0.9999894038342667,0.9999748770499912,0.9999580147857373,0.9999491264270033
like,shape,0.873187154294673,0.9968311367554464,0.9997479823565258,0.9999168578986966,0.9999580641306186,0.9999214788245906,0.9999944525643064,0.9999660262366763,0.9999759726281262,0.999992486294575,0.9999925733610174,0.9999758396800836,0.999947630841126,0.9999785168682949,0.9999620313608888,0.6648940348112534,0.9997367612890797
like,object,0.9273076476816936,0.996042530200716,0.9994075946763803,0.9999349447636922,0.9999697164328862,0.9999298583890381,0.9999969164543073,0.9999792980019555,0.9999863208673532,0.99999271643154,0.9999930323126583,0.9999771892126225,0.9998873132533954,0.99994264949606,0.9999532844583845,0.616063777593976,0.9998645239632697
look,rgb,0.026047218881280653,0.023444596939493974,0.029290384684795282,0.7528718901219974,0.7284157249959281,0.7708171070951192,0.7376588789100904,0.9978648634426754,0.9958610138593474,0.9931580291131782,0.9398308191764209,0.9538685777812131,0.006611020939080689,0.007562385381187894,0.006349515125919634,0.01414559350108649,0.029940432898711577
look,shape,0.009843925012389785,0.9956678181739569,0.9991542564867842,0.3478209317946994,0.9680657611377768,0.9875917203214146,0.9999915727415062,0.9999994095032979,0.9999779457144315,0.9998920691565275,0.9999067760070856,0.9998281433749705,0.0011648849742508034,0.9233679889824665,0.13643372776598284,0.03926865118532734,0.9998625223814979
look,object,0.39223905416052623,0.9998994035259279,0.9999691697890845,0.8534296286736891,0.9984156918482525,0.9992901429000615,0.9999999866106386,0.999996575526271,0.999969521607567,0.9998669355133436,0.999902255163557,0.9997775252568771,0.00011785874033591683,0.09521827483948767,0.1282998917713606,0.0038933142848017292,0.9999877980786405
salad,rgb,5.387593823500209e-05,2.718198385638032e-05,1.787931442716274e-05,0.8632720195295249,0.8482322007432355,0.8448919045719422,0.82306987618943,0.9999999999707072,0.9999999999561671,0.9999999999199967,0.9999999989351869,0.9999999995516564,0.999491075625783,0.9996345054439244,0.9993105192533569,0.9997581020108313,0.9998705334708958
salad,shape,0.04878846031681068,0.6815453368242544,0.8771976219968838,0.9999915067099813,0.9863240513598521,0.6131410719475228,0.9999427891100923,0.9890315477811735,0.9998559969103107,0.9999455896700278,0.9999377436644555,0.9771414172795988,0.9999879707685756,0.9999830665725872,0.9999239593265665,0.999928547179812,0.9999483517817674
salad,object,0.02953463933608743,0.07156575261953942,0.37013339159210756,0.9999803393163467,0.996521868964386,0.9587503729725718,0.9998224865866897,0.9999686371102282,0.999998392196839,0.9999989232778701,0.999997356848454,0.9999159315218777,0.9999823145130042,0.9999776311109672,0.9999355234966497,0.9999586311740778,0.9999787801738275
use,rgb,0.9964469124875573,0.9962555146095482,0.9957202863585527,0.9990717997624124,0.9990655975450156,0.9990204627796039,0.9990145130111614,0.9999996760495936,0.9999995977304015,0.9999995539026314,0.9999992217698054,0.9999991124526203,0.9999791204017731,0.9999766269320399,0.9999714624565191,0.999965467437517,0.9999602466986295
use,shape,0.997199745845374,0.06135060004539164,0.14248754335470418,0.9999723581434005,0.9991642355547201,0.9942532499803592,0.0005796117136137142,0.0015320803332283227,0.00014027365696048127,0.00021013900733800076,0.00031196868466396493,0.026693348843555762,0.9999604782581344,0.9999868406553787,0.9999508979185882,0.9999726877786929,0.9997710996034422
use,object,0.9985560207202214,0.9579805461282316,0.9711720536638472,0.9999124026264777,0.9996505569705249,0.9993085673509756,0.9583252350691498,0.9998504444715892,0.9997292975397729,0.9997889136733406,0.999689745891465,0.9999194329997118,0.9999962082526321,0.9999967292797285,0.9999854191556228,0.9999856990770775,0.9998968478895657
yellow,rgb,0.9999533722474986,0.9999520352906716,0.9999431420590411,0.9999851760751548,0.9999851639440797,0.999984103511517,0.999984147916998,0.9999999994755588,0.9999999992968771,0.9999999992153814,0.9999999985141066,0.9999999980718086,0.9999999231352411,0.9999999067489636,0.9999998800744292,0.9999998275273647,0.9999997768483365
yellow,shape,0.9998917021279912,0.99997855479824,0.9998190815823774,0.9999622201414243,0.9999963800011324,0.9999371414800605,0.9992456695457158,0.8231372682748842,0.03163184124439692,0.5230035084674602,0.8479798193514572,0.036724503150626496,0.9999505986371842,0.9999870100437528,0.9999390086577752,0.9996749339592079,0.0424232721243888
yellow,object,0.9999665029207713,0.9999711438112229,0.999961599931639,0.9999812568937484,0.9999870947873822,0.9999840882147676,0.9998888116921054,0.999999942715923,0.9999998335830521,0.9999999335117689,0.9999999124200832,0.999999797179196,0.9999998086311792,0.9999998231496812,0.9999993308083772,0.999999685560485,0.9999860337252948
